package_app	file	line_count	reviewer	status	evidence_file	reviewed_ranges	finding_count
apps/primary-advantage	apps/primary-advantage/.env.example	22	Measure Review A/PA-LR-001	reviewed	measure/tracks/primary_advantage_full_review_20260626/line-review/evidence/primary-advantage-001.md	1-22	0
apps/primary-advantage	apps/primary-advantage/.gitignore	52	Measure Review A/PA-LR-001	reviewed	measure/tracks/primary_advantage_full_review_20260626/line-review/evidence/primary-advantage-001.md	1-52	0
apps/primary-advantage	apps/primary-advantage/AGENTS.md	147	Measure Review A/PA-LR-001	reviewed	measure/tracks/primary_advantage_full_review_20260626/line-review/evidence/primary-advantage-001.md	1-147	0
apps/primary-advantage	apps/primary-advantage/Dockerfile	51	Measure Review A/PA-LR-001	reviewed	measure/tracks/primary_advantage_full_review_20260626/line-review/evidence/primary-advantage-001.md	1-51	2
apps/primary-advantage	apps/primary-advantage/README.md	79	Measure Review A/PA-LR-001	reviewed	measure/tracks/primary_advantage_full_review_20260626/line-review/evidence/primary-advantage-001.md	1-79	1
apps/primary-advantage	apps/primary-advantage/actions/article.ts	135	Measure Review A/PA-LR-001	reviewed	measure/tracks/primary_advantage_full_review_20260626/line-review/evidence/primary-advantage-001.md	1-135	3
apps/primary-advantage	apps/primary-advantage/actions/classroom.ts	46	Measure Review A/PA-LR-001	reviewed	measure/tracks/primary_advantage_full_review_20260626/line-review/evidence/primary-advantage-001.md	1-46	2
apps/primary-advantage	apps/primary-advantage/actions/flashcard.ts	1400	measure-jr-green/primary-advantage-002	reviewed	measure/tracks/primary_advantage_full_review_20260626/line-review/evidence/primary-advantage-002.md	1-1400	8
apps/primary-advantage	apps/primary-advantage/actions/pratice.ts	137	measure-jr-green/primary-advantage-003	reviewed	measure/tracks/primary_advantage_full_review_20260626/line-review/evidence/primary-advantage-003.md	1-137	2
apps/primary-advantage	apps/primary-advantage/actions/question.ts	196	measure-jr-green/primary-advantage-003	reviewed	measure/tracks/primary_advantage_full_review_20260626/line-review/evidence/primary-advantage-003.md	1-196	2
apps/primary-advantage	apps/primary-advantage/actions/signupAction.ts	27	measure-jr-green/primary-advantage-003	reviewed	measure/tracks/primary_advantage_full_review_20260626/line-review/evidence/primary-advantage-003.md	1-27	1
apps/primary-advantage	apps/primary-advantage/actions/singinAction.ts	41	measure-jr-green/primary-advantage-003	reviewed	measure/tracks/primary_advantage_full_review_20260626/line-review/evidence/primary-advantage-003.md	1-41	1
apps/primary-advantage	apps/primary-advantage/actions/test.ts	132	measure-jr-green/primary-advantage-003	reviewed	measure/tracks/primary_advantage_full_review_20260626/line-review/evidence/primary-advantage-003.md	1-132	3
apps/primary-advantage	apps/primary-advantage/actions/user.ts	101	measure-jr-green/primary-advantage-003	reviewed	measure/tracks/primary_advantage_full_review_20260626/line-review/evidence/primary-advantage-003.md	1-101	1
apps/primary-advantage	apps/primary-advantage/app/[locale]/(index)/about/page.tsx	21	measure-jr-green/primary-advantage-003	reviewed	measure/tracks/primary_advantage_full_review_20260626/line-review/evidence/primary-advantage-003.md	1-21	0
apps/primary-advantage	apps/primary-advantage/app/[locale]/(index)/authors/page.tsx	13	measure-jr-green/primary-advantage-003	reviewed	measure/tracks/primary_advantage_full_review_20260626/line-review/evidence/primary-advantage-003.md	1-13	1
apps/primary-advantage	apps/primary-advantage/app/[locale]/(index)/contact/page.tsx	15	measure-jr-green/primary-advantage-003	reviewed	measure/tracks/primary_advantage_full_review_20260626/line-review/evidence/primary-advantage-003.md	1-15	1
apps/primary-advantage	apps/primary-advantage/app/[locale]/(index)/layout.tsx	58	measure-jr-green/primary-advantage-003	reviewed	measure/tracks/primary_advantage_full_review_20260626/line-review/evidence/primary-advantage-003.md	1-58	1
apps/primary-advantage	apps/primary-advantage/app/[locale]/(index)/page.tsx	287	line-review-batch-004	reviewed	measure/tracks/primary_advantage_full_review_20260626/line-review/evidence/primary-advantage-004.md	1-287	1
apps/primary-advantage	apps/primary-advantage/app/[locale]/(index)/privacy-policy/page.tsx	162	line-review-batch-004	reviewed	measure/tracks/primary_advantage_full_review_20260626/line-review/evidence/primary-advantage-004.md	1-162	2
apps/primary-advantage	apps/primary-advantage/app/[locale]/(index)/terms/page.tsx	136	line-review-batch-004	reviewed	measure/tracks/primary_advantage_full_review_20260626/line-review/evidence/primary-advantage-004.md	1-136	1
apps/primary-advantage	apps/primary-advantage/app/[locale]/(student)/settings/layout.tsx	14	line-review-batch-004	reviewed	measure/tracks/primary_advantage_full_review_20260626/line-review/evidence/primary-advantage-004.md	1-14	0
apps/primary-advantage	apps/primary-advantage/app/[locale]/(student)/settings/school-profile/page.tsx	168	line-review-batch-004	reviewed	measure/tracks/primary_advantage_full_review_20260626/line-review/evidence/primary-advantage-004.md	1-168	3
apps/primary-advantage	apps/primary-advantage/app/[locale]/(student)/settings/user-profile/page.tsx	219	line-review-batch-004	reviewed	measure/tracks/primary_advantage_full_review_20260626/line-review/evidence/primary-advantage-004.md	1-219	3
apps/primary-advantage	apps/primary-advantage/app/[locale]/(student)/student/assignments/page.tsx	13	line-review-batch-004	reviewed	measure/tracks/primary_advantage_full_review_20260626/line-review/evidence/primary-advantage-004.md	1-13	0
apps/primary-advantage	apps/primary-advantage/app/[locale]/(student)/student/history/page.tsx	24	line-review-batch-004	reviewed	measure/tracks/primary_advantage_full_review_20260626/line-review/evidence/primary-advantage-004.md	1-24	0
apps/primary-advantage	apps/primary-advantage/app/[locale]/(student)/student/layout.tsx	15	line-review-batch-004	reviewed	measure/tracks/primary_advantage_full_review_20260626/line-review/evidence/primary-advantage-004.md	1-15	0
apps/primary-advantage	apps/primary-advantage/app/[locale]/(student)/student/lesson/[id]/page.tsx	77	line-review-batch-004	reviewed	measure/tracks/primary_advantage_full_review_20260626/line-review/evidence/primary-advantage-004.md	1-77	2
apps/primary-advantage	apps/primary-advantage/app/[locale]/(student)/student/read/[articleId]/error.tsx	30	measure-jr-green/primary-advantage-005	reviewed	measure/tracks/primary_advantage_full_review_20260626/line-review/evidence/primary-advantage-005.md	1-30	2
apps/primary-advantage	apps/primary-advantage/app/[locale]/(student)/student/read/[articleId]/loading.tsx	35	measure-jr-green/primary-advantage-005	reviewed	measure/tracks/primary_advantage_full_review_20260626/line-review/evidence/primary-advantage-005.md	1-35	0
apps/primary-advantage	apps/primary-advantage/app/[locale]/(student)/student/read/[articleId]/page.tsx	134	measure-jr-green/primary-advantage-005	reviewed	measure/tracks/primary_advantage_full_review_20260626/line-review/evidence/primary-advantage-005.md	1-134	5
apps/primary-advantage	apps/primary-advantage/app/[locale]/(student)/student/read/loading.tsx	33	measure-jr-green/primary-advantage-005	reviewed	measure/tracks/primary_advantage_full_review_20260626/line-review/evidence/primary-advantage-005.md	1-33	1
apps/primary-advantage	apps/primary-advantage/app/[locale]/(student)/student/read/page.tsx	172	measure-jr-green/primary-advantage-005	reviewed	measure/tracks/primary_advantage_full_review_20260626/line-review/evidence/primary-advantage-005.md	1-172	3
apps/primary-advantage	apps/primary-advantage/app/[locale]/(student)/student/reports/page.tsx	48	measure-jr-green/primary-advantage-005	reviewed	measure/tracks/primary_advantage_full_review_20260626/line-review/evidence/primary-advantage-005.md	1-48	2
apps/primary-advantage	apps/primary-advantage/app/[locale]/(student)/student/sentences/page.tsx	59	measure-jr-green/primary-advantage-005	reviewed	measure/tracks/primary_advantage_full_review_20260626/line-review/evidence/primary-advantage-005.md	1-59	1
apps/primary-advantage	apps/primary-advantage/app/[locale]/(student)/student/vocabulary/page.tsx	19	measure-jr-green/primary-advantage-005	reviewed	measure/tracks/primary_advantage_full_review_20260626/line-review/evidence/primary-advantage-005.md	1-19	1
