package_app	file	line_count	reviewer	status	evidence_file	reviewed_ranges	finding_count
apps/primary-advantage	apps/primary-advantage/app/[locale]/(student)/student/read/[articleId]/error.tsx	30	measure-jr-green/primary-advantage-005	reviewed	measure/tracks/primary_advantage_full_review_20260626/line-review/evidence/primary-advantage-005.md	1-30	2
apps/primary-advantage	apps/primary-advantage/app/[locale]/(student)/student/read/[articleId]/loading.tsx	35	measure-jr-green/primary-advantage-005	reviewed	measure/tracks/primary_advantage_full_review_20260626/line-review/evidence/primary-advantage-005.md	1-35	0
apps/primary-advantage	apps/primary-advantage/app/[locale]/(student)/student/read/[articleId]/page.tsx	134	measure-jr-green/primary-advantage-005	reviewed	measure/tracks/primary_advantage_full_review_20260626/line-review/evidence/primary-advantage-005.md	1-134	5
apps/primary-advantage	apps/primary-advantage/app/[locale]/(student)/student/read/loading.tsx	33	measure-jr-green/primary-advantage-005	reviewed	measure/tracks/primary_advantage_full_review_20260626/line-review/evidence/primary-advantage-005.md	1-33	1
apps/primary-advantage	apps/primary-advantage/app/[locale]/(student)/student/read/page.tsx	172	measure-jr-green/primary-advantage-005	reviewed	measure/tracks/primary_advantage_full_review_20260626/line-review/evidence/primary-advantage-005.md	1-172	3
apps/primary-advantage	apps/primary-advantage/app/[locale]/(student)/student/reports/page.tsx	48	measure-jr-green/primary-advantage-005	reviewed	measure/tracks/primary_advantage_full_review_20260626/line-review/evidence/primary-advantage-005.md	1-48	2
apps/primary-advantage	apps/primary-advantage/app/[locale]/(student)/student/sentences/page.tsx	59	measure-jr-green/primary-advantage-005	reviewed	measure/tracks/primary_advantage_full_review_20260626/line-review/evidence/primary-advantage-005.md	1-59	1
apps/primary-advantage	apps/primary-advantage/app/[locale]/(student)/student/vocabulary/page.tsx	19	measure-jr-green/primary-advantage-005	reviewed	measure/tracks/primary_advantage_full_review_20260626/line-review/evidence/primary-advantage-005.md	1-19	1
apps/primary-advantage	apps/primary-advantage/app/[locale]/[...not-found]/layout.tsx	35	measure-jr-green/primary-advantage-005	reviewed	measure/tracks/primary_advantage_full_review_20260626/line-review/evidence/primary-advantage-005.md	1-35	1
apps/primary-advantage	apps/primary-advantage/app/[locale]/[...not-found]/page.tsx	50	measure-jr-green/primary-advantage-005	reviewed	measure/tracks/primary_advantage_full_review_20260626/line-review/evidence/primary-advantage-005.md	1-50	2
