package	file	line_count	reviewer	status	evidence_file	reviewed_ranges	finding_count
packages/db	packages/db/README.md	107	measure-review-a	reviewed	measure/tracks/shared_foundation_review_20260626/line-review/evidence/packages-db-001.md	1-107	1
packages/db	packages/db/docs/adr/0001-use-drizzle-not-prisma.md	37	measure-review-a	reviewed	measure/tracks/shared_foundation_review_20260626/line-review/evidence/packages-db-001.md	1-37	0
packages/db	packages/db/docs/adr/0002-drop-jwt-era-accounts-columns.md	35	measure-review-a	reviewed	measure/tracks/shared_foundation_review_20260626/line-review/evidence/packages-db-001.md	1-35	0
packages/db	packages/db/docs/adr/0003-add-intern-role.md	30	measure-review-a	reviewed	measure/tracks/shared_foundation_review_20260626/line-review/evidence/packages-db-001.md	1-30	0
packages/db	packages/db/drizzle/0000_wide_vengeance.sql	203	measure-review-a	reviewed	measure/tracks/shared_foundation_review_20260626/line-review/evidence/packages-db-001.md	1-203	0
packages/db	packages/db/drizzle/0001_thick_santa_claus.sql	139	measure-review-a	reviewed	measure/tracks/shared_foundation_review_20260626/line-review/evidence/packages-db-001.md	1-139	1
packages/db	packages/db/drizzle/0002_quick_skreet.sql	4	measure-review-a	reviewed	measure/tracks/shared_foundation_review_20260626/line-review/evidence/packages-db-001.md	1-4	0
packages/db	packages/db/drizzle/0003_slow_firebrand.sql	96	measure-review-a	reviewed	measure/tracks/shared_foundation_review_20260626/line-review/evidence/packages-db-001.md	1-96	1
packages/db	packages/db/drizzle/0004_sturdy_forge.sql	27	measure-review-a	reviewed	measure/tracks/shared_foundation_review_20260626/line-review/evidence/packages-db-001.md	1-27	1
packages/db	packages/db/drizzle/0005_codecamp_schema.sql	121	measure-review-a	reviewed	measure/tracks/shared_foundation_review_20260626/line-review/evidence/packages-db-001.md	1-121	0
packages/db	packages/db/drizzle/0006_codecamp_indexes.sql	8	gpt-5.5 measure line-review coordinator	reviewed	measure/tracks/shared_foundation_review_20260626/line-review/evidence/packages-db-002.md	1-8	0
packages/db	packages/db/drizzle/0007_codecamp_repos_reviews.sql	34	gpt-5.5 measure line-review coordinator	reviewed	measure/tracks/shared_foundation_review_20260626/line-review/evidence/packages-db-002.md	1-34	0
packages/db	packages/db/drizzle/0008_codecamp_phase.sql	4	gpt-5.5 measure line-review coordinator	reviewed	measure/tracks/shared_foundation_review_20260626/line-review/evidence/packages-db-002.md	1-4	0
packages/db	packages/db/drizzle/0009_add_github_username.sql	3	gpt-5.5 measure line-review coordinator	reviewed	measure/tracks/shared_foundation_review_20260626/line-review/evidence/packages-db-002.md	1-3	0
packages/db	packages/db/drizzle/0010_codecamp_uniqueness.sql	9	gpt-5.5 measure line-review coordinator	reviewed	measure/tracks/shared_foundation_review_20260626/line-review/evidence/packages-db-002.md	1-9	0
packages/db	packages/db/drizzle/0011_codecamp_webhook_events.sql	15	gpt-5.5 measure line-review coordinator	reviewed	measure/tracks/shared_foundation_review_20260626/line-review/evidence/packages-db-002.md	1-15	0
packages/db	packages/db/drizzle/0012_codecamp_intern_role.sql	3	gpt-5.5 measure line-review coordinator	reviewed	measure/tracks/shared_foundation_review_20260626/line-review/evidence/packages-db-002.md	1-3	0
packages/db	packages/db/drizzle/0013_prisma_drizzle_schema_unification.sql	848	gpt-5.5 measure line-review coordinator	reviewed	measure/tracks/shared_foundation_review_20260626/line-review/evidence/packages-db-002.md	1-848	0
packages/db	packages/db/drizzle/0014_users_license_expired_date.sql	6	gpt-5.5 measure line-review coordinator	reviewed	measure/tracks/shared_foundation_review_20260626/line-review/evidence/packages-db-002.md	1-6	0
packages/db	packages/db/drizzle/0015_science_junction_tables.sql	38	gpt-5.5 measure line-review coordinator	reviewed	measure/tracks/shared_foundation_review_20260626/line-review/evidence/packages-db-002.md	1-38	0
packages/db	packages/db/drizzle/0016_users_grade_level.sql	7	gpt-5.5 measure line-review coordinator	reviewed	measure/tracks/shared_foundation_review_20260626/line-review/evidence/packages-db-003.md	1-7	0
packages/db	packages/db/drizzle/0017_science_school_id.sql	111	gpt-5.5 measure line-review coordinator	reviewed	measure/tracks/shared_foundation_review_20260626/line-review/evidence/packages-db-003.md	1-111	0
packages/db	packages/db/drizzle/0018_audit_events.sql	50	gpt-5.5 measure line-review coordinator	reviewed	measure/tracks/shared_foundation_review_20260626/line-review/evidence/packages-db-003.md	1-50	0
packages/db	packages/db/drizzle/0019_session_token_hash.sql	7	gpt-5.5 measure line-review coordinator	reviewed	measure/tracks/shared_foundation_review_20260626/line-review/evidence/packages-db-003.md	1-7	0
packages/db	packages/db/drizzle/0020_sessions_indexes.sql	2	gpt-5.5 measure line-review coordinator	reviewed	measure/tracks/shared_foundation_review_20260626/line-review/evidence/packages-db-003.md	1-2	0
packages/db	packages/db/drizzle/0021_sales_advantage.sql	168	gpt-5.5 measure line-review coordinator	reviewed	measure/tracks/shared_foundation_review_20260626/line-review/evidence/packages-db-003.md	1-168	0
packages/db	packages/db/drizzle/0022_flowery_black_tarantula.sql	122	gpt-5.5 measure line-review coordinator	reviewed	measure/tracks/shared_foundation_review_20260626/line-review/evidence/packages-db-003.md	1-122	0
packages/db	packages/db/drizzle/0023_cultured_sunspot.sql	1	gpt-5.5 measure line-review coordinator	reviewed	measure/tracks/shared_foundation_review_20260626/line-review/evidence/packages-db-003.md	1-1	0
packages/db	packages/db/drizzle/MIGRATION_LEDGER.md	64	gpt-5.5 measure line-review coordinator	reviewed	measure/tracks/shared_foundation_review_20260626/line-review/evidence/packages-db-003.md	1-64	0
packages/db	packages/db/drizzle/meta/0000_snapshot.json	1363	gpt-5.5 measure line-review coordinator	reviewed	measure/tracks/shared_foundation_review_20260626/line-review/evidence/packages-db-004.md	1-1363	0
packages/db	packages/db/drizzle/meta/0001_snapshot.json	2279	gpt-5.5 measure line-review coordinator	reviewed	measure/tracks/shared_foundation_review_20260626/line-review/evidence/packages-db-005.md	1-2279	0
packages/db	packages/db/drizzle/meta/0002_snapshot.json	2334	gpt-5.5 measure line-review coordinator	reviewed	measure/tracks/shared_foundation_review_20260626/line-review/evidence/packages-db-006.md	1-2334	0
